title,cast,director,genres,keywords,title,overview,tagline
Frenzy,"['Jon Finch', 'Alec McCowen', 'Barry Foster', 'Billie Whitelaw', 'Anna Massey']",Alfred Hitchcock,"['Crime', 'Drama', 'Mystery', 'Thriller']","['london england', 'rape', 'police', 'suspense', 'serial killer']",Frenzy,"A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.",Just an ordinary necktie used with a deadly new twist.
The Witch,"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger']",Robert Eggers,"['Mystery', 'Horror']","['witch', 'new england', '17th century']",The Witch,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.",Evil takes many forms.
I Got the Hook Up,"['Master P', 'Anthony Johnson', 'Ice Cube', 'Tom Lister Jr.']",Michael Martin,"['Action', 'Comedy']",[],I Got the Hook Up,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI.",A truckload of cell phones... turns into a boatload of cash!
She's the One,"['Edward Burns', 'Michael McGlone', 'Cameron Diaz', 'Jennifer Aniston', 'John Mahoney']",Edward Burns,"['Comedy', 'Romance']","['brother brother relationship', 'taxi', 'ex-girlfriend', ""love of one's life"", 'bride', 'broker', 'independent film', 'wedding']",She's the One,"Mickey, a free-spirited New York cabbie, and Francis, a materialistic Wall Street stockbroker, are extremely competitive and confused about women as a result of their father's influence. Though they disagree about everything, they have one thing in common: Mickey's ex-fiance Heather is Francis's secret love. Though both brothers have beautiful wives, Heather triggers their longtime sibling rivalry",A romantic comedy about two brothers... and the one thing that came between them.
Gods and Monsters,"['Ian McKellen', 'Brendan Fraser', 'Lynn Redgrave', 'Lolita Davidovich', 'David Dukes']",Bill Condon,['Drama'],"['gay', 'film director', 'dying and death', 'biography', 'homosexuality', 'author', 'lgbt elderly']",Gods and Monsters,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",
The Secret in Their Eyes,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Javier Godino', 'Guillermo Francella']",Juan José Campanella,"['Crime', 'Drama', 'Mystery', 'Romance']","['rape', 'secret', 'writing', 'homicide', 'kidnapping', 'passion', 'suspect', 'investigation', 'police', 'partner', 'murder', 'tension', 'argentina', 'justice', 'eyes']",El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,
Train,"['Thora Birch', 'Gideon Emery', 'Gloria Votsis', 'Derek Magyar', 'Todd Jensen']",Gideon Raff,"['Horror', 'Thriller']",[],Train,This new Train tells the tale of an American wrestling team who board a train that just so happens to be used as a supermarket for organ harvesters.,You're in for a hell of a ride.
Evil Dead II,"['Bruce Campbell', 'Sarah Berry', 'Dan Hicks', 'Kassie DePaiva', 'Denise Bixler']",Sam Raimi,"['Horror', 'Comedy', 'Fantasy']","['deer', 'blood splatter', 'tape recorder', 'chainsaw', 'spirit', 'violence', 'over the top', 'shot in the arm', 'book of the dead', 'evil dead', 'eyeball', 'necronomicon', 'tarmac', 'meat cleaver', 'shot through a wall']",Evil Dead II,Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from “The Book of the Dead.” As they play the recording an evil power is unleashed taking over Linda’s body.,The Sequel To The Ultimate Experience In Grueling Terror
Pootie Tang,"['Jennifer Coolidge', 'Lance Crouther', 'J.B. Smoove', 'Reg E. Cathey', 'Robert Vaughn']",Louis C.K.,"['Action', 'Comedy']","['ladykiller', 'musical', 'belt', 'police officer', 'drug lord']",Pootie Tang,"Pootie Tang, the musician/actor/folk hero of the ghetto, is chronicled from his early childhood to his battles against the evil Corporate America, who try to steal his magic belt and make him sell out by endorsing addictive products to his people. Pootie must learn to find himself and defeat the evil corporation for all the young black children of America, supatime.",Too cool for words.
Sharknado,"['Ian Ziering', 'Tara Reid', 'Cassandra Scerbo', 'John Heard', 'Jaason Simmons']",Anthony C. Ferrante,"['TV Movie', 'Horror']","['california', 'helicopter', 'beach', 'tornado', 'hurricane', 'attack', 'blood', 'chainsaw', 'storm', 'explosion', 'danger', 'shark', 'tv movie', 'flood']",Sharknado,"A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia",Enough said!
The Other Conquest,"['Damián Delgado', 'José Carlos Rodríguez', 'Elpidia Carrillo', 'Iñaki Aierra', 'Honorato Magaloni']",Salvador Carrasco,"['Drama', 'Foreign']","['female nudity', 'pagan', 'aztec indian']",La otra conquista,"The film is a drama about the aftermath of the 1520s Spanish Conquest of Mexico told from the perspective of the indigenous Aztec people. It explores the social, religious, and psychological changes brought about by a historical process of colonization that both defined the American continent and is also highly reminiscent of today’s neocolonialism.",The spirit of a people can never be conquered.
Troll Hunter,"['Otto Jespersen', 'Hans Morten Hansen', 'Tomas Alf Larsen', 'Johanna Mørck', 'Knut Nærum']",André Øvredal,"['Fantasy', 'Horror']","['hunter', 'mountains', 'wilderness', 'adventure', 'forest', 'secret government organization', 'hunting trip', 'wildlife', 'conspiracy', 'troll', 'mockumentary', 'found footage', 'aftercreditsstinger']",Trolljegeren,"A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter.",You believe it when you see it!
Ira & Abby,"['Chris Messina', 'Jennifer Westfeldt', 'David Margulies', 'Kali Rocha', 'Kevin Sussman']",Robert Cary,"['Comedy', 'Romance']",['independent film'],Ira & Abby,"A neurotic, young psychology student, with low self-esteem, has a chance encounter with a free-spirited, extremely gregarious woman who works at the Paris Health Club in New York City, and who suggests that they immediately get married to see how it will work out. Both of the student's parents are analysts, and they provide the happy couple with a gift certificate for a year of marriage counseling as a wedding present.","First comes love, then comes marriage, then comes therapy."
Winter Passing,"['Zooey Deschanel', 'Will Ferrell', 'Ed Harris', 'Amy Madigan', 'Amelia Warner']",Adam Rapp,"['Comedy', 'Drama']","['independent film', 'book editor']",Winter Passing,"Actress Reese Holden has been offered a small fortune by a book editor if she can secure for publication the love letters that her father, a reclusive novelist, wrote to her mother, who has since passed away. Returning to Michigan, Reese finds that an ex-grad student and a would-be musician have moved in with her father, who cares more about his new friends than he does about his own health and well-being.",Sometimes you go looking for something you want. . . and find what you need.
D.E.B.S.,"['Sara Foster', 'Meagan Good', 'Jordana Brewster', 'Devon Aoki', 'Jill Ritchie']",Angela Robinson,['Action'],"['coming out', 'covert operation', 'lesbian', 'female protagonist', 'in the closet', 'based on short film', 'lgbt', 'metrosexual', 'subversion', 'female agent', 'schoolgirl uniform', 'punk rocker', 'lip synching', 'plaid', 'thesis', 'german girl', 'french girl', 'woman director', 'spy spoof']",D.E.B.S.,The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,Evil is so totally busted!
The Masked Saint,"['Brett Granstaff', 'Lara Jean Chorostecki', 'T.J. McGibbon', 'Diahann Carroll', 'Roddy Piper']",Warren P. Sonoda,"['Crime', 'Action']","['pastor', 'based on true story', 'wrestler']",The Masked Saint,"The journey of a professional wrestler who becomes a small town pastor and moonlights as a masked vigilante fighting injustice. While facing crises at home and at the church, the Pastor must evade the police and somehow reconcile his violent secret identity with his calling as a pastor.",
The Betrayed,"['Melissa George', 'Oded Fehr', 'Christian Campbell', 'Alice Krige', 'Connor Christopher Levins']",Amanda Gusack,"['Crime', 'Drama', 'Mystery', 'Thriller']","['kidnapping', 'revelation', 'murder', 'theft', 'trust', 'criminal', 'warehouse', 'psycho', 'flashback']",The Betrayed,Kidnappers force a young mother (Melissa George) to recover money stolen by her shady husband (Christian Campbell).,What she doesn't know could kill her.
Taxman,"['Joe Pantoliano', 'Wade Dominguez', 'Elizabeth Berkley', 'Michael Chiklis', 'Robert Townsend']",Avi Nesher,"['Action', 'Crime', 'Comedy', 'Thriller']","['machinegun', 'tax inspector', 'wedding party']",Taxman,"After a homocide that the police believe is over gasoline theft, a tax investigator discovers the Russian mafia is involved and that they are stealing millions in gasoline tax money. Only one rookie cop is willing to believe him and together they must get the evidence they need or die trying.","In life only two things are certain, death and taxes."
The Secret,"['James Nesbitt', ""Genevieve O'Reilly"", 'Jason Watkins', 'Laura Pyper', 'Glen Wallace']",Nick Murphy ,['Drama'],['miniseries'],The Secret,"The Secret is the story of a real-life double murder. James Nesbitt plays Colin Howell, a respectable dentist and pillar of the community, who became a killer in partnership with a Sunday school teacher, Hazel Buchanan, played by Genevieve O'Reilly.",
2:13,"['Mark Thompson', 'Mark Pellegrino', 'Teri Polo', 'Kevin Pollak']",Charles Adelman,"['Horror', 'Thriller', 'Mystery']","['thriller', 'forensic']",2:13,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must confront the all too-familiar flesh masks that the killer leaves on the faces of his victims. He must face his own demons along with the killer to save his small eroding existence.",Killers Are Not Born ... They Are Made
"Batman: The Dark Knight Returns, Part 2","['Peter Weller', 'Ariel Winter', 'David Selby', 'Michael Emerson', 'Mark Valley']",Jay Oliva,"['Action', 'Animation']","['dc comics', 'future', 'joker', 'robin', 'based on graphic novel', 'dystopic future', 'super powers']","Batman: The Dark Knight Returns, Part 2",Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,Justice Returns... Vengeance Returns... Redemption Comes to Gotham.
Time to Choose,"['Oscar Isaac', 'Jane Goodall', 'Jerry Brown', 'Neal Barnard', 'Michael Pollan']",Charles Ferguson,['Documentary'],"['climate change', 'documentary']",Time to Choose,"Academy Award® winning director Charles Ferguson's new film investigates global climate change villains and heroes, and reveals practical solutions to act on.",Climate change for good.
In the Name of the King III,"['Dominic Purcell', 'Ralitsa Paskaleva', 'Bashar Rahal', 'Nikolai Sotirov', 'Marian Valev']",Uwe Boll,"['Action', 'Adventure', 'Drama', 'Fantasy']",['based on video game'],In the Name of the King III,"Hazen Kaine, an American contract killer living in Sofia, Bulgaria, gets more than he bargains for when he enters into a contract with the mob. One last job before he gets out and starts a new life for himself. The targets: the three children of royal billionaire Andon Dupont. Seems simple enough, or so he thought. Hazen apprehends the children, and before he can blink an eye, a simple necklace worn by one of the children sends his life spiraling back to medieval times. Now completely out of his element, Hazen fights for his life as he tries to escape a medieval army and a fierce fire-breathing dragon.",
Wicked Blood,"['Abigail Breslin', 'James Purefoy', 'Sean Bean', 'Alexa PenaVega', 'Jake Busey']",Mark Young,"['Action', 'Drama', 'Thriller']",[],Wicked Blood,"Hannah and Amber Baker are trapped in a dark Southern underworld of violence, drugs and bikers. Both live in fear of their ""Uncle Frank"" Stinson, the ruthless leader of a crime organization.",The Ultimate Endgame
Stranded,"['Scott Eastwood', 'Rita Wilson', 'Jeff Fahey', 'David James Elliott', 'Kim Matula']","Daniel Petrie, Jr.",['Drama'],"['revenge', 'murder', 'u.s. marine']",Dawn Patrol,"After the brutal murder of his beloved brother, a small-town surfer seeks revenge against the gang of merciless thugs he holds responsible. However, when another tragedy brings him face to face with the consequences of his actions, he must seek forgiveness from the very people he despises most.",Revenge comes at a price.
Lords of London,"['Glen Murphy', 'Ray Winstone', 'Giovanni Capalbo', 'Serena Iansiti', 'Christopher Hatherhall']",Antonio Simoncini,"['Crime', 'Mystery', 'Thriller']","['wife husband relationship', 'gangster', 'mysterious killer']",Lords of London,"Tony is a notorious gangster with a big problem. He has woken up in an abandoned farmhouse, with blood on his shirt, and no memory of how he got there. He stumbles into a small town and discovers he’s in an Italian village that seems to be lost in time.","In this city, crime is a family business."
High Anxiety,"['Mel Brooks', 'Madeline Kahn', 'Cloris Leachman', 'Harvey Korman', 'Ron Carey']",Mel Brooks,"['Comedy', 'Music']","['industrialist', 'vertigo', 'hitman', 'lighthouse', 'spoof', 'hitchcockian']",High Anxiety,"Dr. Richard Thorndyke arrives as new administrator of the Psychoneurotic Institute for the Very, VERY Nervous to discover some suspicious goings-on. When he's framed for murder, Dr. Thorndyke must confront his own psychiatric condition, ""high anxiety,"" in order to clear his name.",The Master of Comedy takes on The Master of Suspense!
March of the Penguins,"['Morgan Freeman', 'Charles Berling', 'Romane Bohringer', 'Jules Sitruk']",Luc Jacquet,"['Documentary', 'Family']","['parents kids relationship', 'penguin', 'brood', 'autonomy', 'egg', 'survival', 'snow', 'antarctic']",La Marche de l'empereur,"Every year, thousands of Antartica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth.","In the harshest place on Earth, love finds a way."
Margin Call,"['Kevin Spacey', 'Paul Bettany', 'Jeremy Irons', 'Zachary Quinto', 'Ashley Williams']",J.C. Chandor,"['Thriller', 'Drama']","['capitalism', 'brokerage', 'wall street', 'downsizing', 'financial crisis', 'stock market', 'stock market crash', '21st century', 'investment']",Margin Call,A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,Be first. Be smarter. Or cheat.
August,"['Murray Bartlett', 'Daniel Dugan', 'Adrian Gonzalez']",Eldar Rapaport,['Drama'],"['drama', 'romance', 'gay relationship']",August,"August tells the story of two former lovers, Troy and Jonathan, who reunite after a long ago painful breakup. After spending several years in Spain, Troy returns to Los Angeles and decides to phone Jonathan and meet for coffee. A seemingly innocent rendezvous turns into an attempt to revive passions past. Only this time it's not that simple as Jonathan has a new beau, Raul, and is trying to make the right decision a second time around.",
Choke,"['Sam Rockwell', 'Anjelica Huston', 'Kelly Macdonald', 'Brad William Henke', 'Clark Gregg']",Clark Gregg,"['Comedy', 'Drama']","['strip club', 'alzheimer', 'sex addiction']",Choke,A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.,From the author of Fight Club
Whiplash,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Austin Stowell', 'Jayson Blair']",Damien Chazelle,['Drama'],"['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']",Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",The road to greatness can take you to the edge.
City of God,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen']",Fernando Meirelles,"['Drama', 'Crime']","['male nudity', 'street gang', 'brazilian', 'photographer', '1970s', 'puberty', 'ghetto', 'gang war', 'coming of age', 'woman director', '1980s']",Cidade de Deus,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.","If you run you're dead... if you stay, you're dead again. Period."
Human Traffic,"['John Simm', 'Danny Dyer', 'Lorraine Pilkington', 'Shaun Parkes', 'Nicola Reynolds']",Justin Kerrigan,"['Comedy', 'Drama']","['sex', 'salesclerk', 'fast food restaurant', 'boredom', 'relationship problems', 'party', 'relationship', 'drug', 'alcohol abuse', 'fashion', 'group of friends']",Human Traffic,"All that exists now is clubs, drugs, pubs and parties. I've got 48 hours off from the world, man I'm gonna blow steam out of my head like a screaming kettle. I'm gonna talk cods hit to strangers all night. I'm gonna lose the plot on the dance floor, the free radicals inside me are freaking man!  Tonight I'm Jip Travolta, I'm Peter Popper, I'm going to Never Never Land with my chosen family, man. We're going to get more spaced out than Neil Armstrong ever did.  Anything could happen tonight, you know? This could be the best night of my life! I've got 73 quid in my back burner. I'm gonna wax the lot, man.  The milky bars are on me! Yeah!",The Weekend has Landed!
To Write Love on Her Arms,"['Kat Dennings', 'Chad Michael Murray', 'Rupert Friend', 'Corbin Bleu', 'Mark Saul']",Nathan Frankowski,"['Drama', 'Music']","['depression', 'biography', 'drug']",To Write Love on Her Arms,"The story follows 19-year-old Renee who has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But Renee’s life is that of a darker tale: she’s a young woman battling addiction, depression and self-injury. In a creative blend of artistic fantasy balanced with harsh reality, the movie follows Renee on her courageous journey towards recovery.",Based on the True Story that started a Global Movement.
The Dead Girl,"['Brittany Murphy', 'Toni Collette', 'Rose Byrne', 'Josh Brolin', 'James Franco']",Karen Moncrieff,"['Mystery', 'Drama', 'Crime', 'Thriller']","['prostitute', 'fire', 'newspaper', 'independent film', 'woman director']",The Dead Girl,The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect.,One life ends. Seven others begin.
The Hunt,"['Mads Mikkelsen', 'Alexandra Rapaport', 'Thomas Bo Larsen', 'Anne Louise Hassing', 'Lars Ranthe']",Thomas Vinterberg,['Drama'],"['father son relationship', 'denmark', 'lie', 'pedophilia', 'kindergarten', 'father', 'deer', 'children', 'teacher', 'school', 'pedophile', 'divorce', 'hunting']",Jagten,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",The lie is spreading.
A Christmas Story,"['Melinda Dillon', 'Darren McGavin', 'Peter Billingsley', 'Jean Shepherd', 'Ian Petrella']",Bob Clark,"['Comedy', 'Family']","['holiday', 'nostalgia', 'young boy', 'bb gun', 'essay', 'christmas tree dealer', 'mall santa', 'christmas', '1940s']",A Christmas Story,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.","Peace, Harmony, Comfort and Joy... Maybe Next Year."
Bella,"['Tammy Blanchard', 'Angélica Aragón', 'Ali Landry', 'Jaime Tirelli', 'Manny Pérez']",Alejandro Monteverde,"['Drama', 'Romance']","['waitress', 'beach', 'independent film', 'soccer', 'girl', 'chance meeting', 'flashback']",Bella,"An international soccer star is on his way to sign a multimillion dollar contract when something happens that brings his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down.",One person can change your life forever
Class of 1984,"['Perry King', 'Merrie Lynn Ross', 'Tim Van Patten', 'Michael J. Fox', 'Roddy McDowall']",Mark L. Lester,"['Action', 'Drama', 'Horror', 'Crime', 'Thriller']","['usa', 'female nudity', 'detective', 'music teacher', 'nudity', 'punk', 'high school', 'vigilante', 'violence in schools', 'murder', 'independent film', 'teacher', 'gang', 'lesbian', 'gang rape', 'juvenile delinquent', 'punk band', 'canuxploitation']",Class of 1984,"Andy is a new teacher at a inner city high school that is like nothing he has ever seen before. There is metal detectors at the front door and everything is basically run by a tough kid named Peter Stegman. Soon, Andy and Stegman become enemies and Stegman will stop at nothing to protect his turf and drug dealing business.",Class of 1984. Is this the future?
The Opposite Sex,"['Mena Suvari', 'Eric Roberts', 'Kristin Chenoweth', 'Dana Ashbrook', 'Kenan Thompson']",Jonathan Silverman,['Comedy'],"['bet', 'divorce', 'gender', 'battle of the sexes', 'life competition']",Opposite Sex,"A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!""","A battle of the sexes, winner takes all."
Dreaming of Joseph Lees,"['Rupert Graves', 'Samantha Morton', 'Nicholas Woodeson', 'Lee Ross', 'Felix Billson']",Eric Styles,"['Romance', 'Drama']","['lust', 'love crime']",Dreaming of Joseph Lees,"Set in rural England in the 1950s Eva (Samantha Morton) fantasises about her handsome, worldly cousin Joseph Lees (Rupert Graves), with whom she fell in love as a girl. However, stuck in a closed community she becomes the object of someone else's fantasy, Harry (Lee Ross). When Harry learns that Eva is planning to leave the village in order to live with and look after the injured Lees, he devises a gruesome scheme in order to force her to stay and look after him.",
The Class,"['François Bégaudeau', 'Franck Keïta', 'Esmeralda Ouertani', 'Rachel Regulier', 'Wei Huang']",Laurent Cantet,['Drama'],"['paris', 'socially deprived family', 'literature', 'illegal immigration', 'immigrant', 'education', 'boredom', 'class society', 'violence in schools', 'republicanism', 'diversity', 'teacher', 'school', 'school life', 'teachers and students']",Entre les murs,Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.,The dynamics of a multicultural class and its teacher will enlighten.
Rosemary's Baby,"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer', 'Maurice Evans']",Roman Polanski,"['Horror', 'Drama', 'Mystery']","['anti-christ', 'contemporary setting', 'laundry', 'occult', 'demonic possession', 'satanic cult', 'lucky charm', 'woman in jeopardy', 'eating disorder', 'catholic priest']",Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,Pray for Rosemary's Baby
The Man Who Shot Liberty Valance,"['John Wayne', 'James Stewart', 'Vera Miles', 'Lee Marvin', ""Edmond O'Brien""]",John Ford,['Western'],"['gunslinger', 'showdown', 'funeral', 'legend', 'to shoot dead', 'outlaw', 'lawyer', 'pistol', 'rancher', 'stagecoach', 'cowboy']",The Man Who Shot Liberty Valance,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford
Adam,"['Hugh Dancy', 'Rose Byrne', 'Peter Gallagher', 'Amy Irving', 'Frankie Faison']",Max Mayer,"['Drama', 'Romance']","[""children's book"", ""asperger's syndrome"", 'electrical engineer', ""asperger's""]",Adam,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",A story about two strangers. One a little stranger than the other...
Maria Full of Grace,"['Catalina Sandino Moreno', 'Guilied Lopez', 'Yenny Paola Vega', 'John Álex Toro', 'Virgina Ariza']",Joshua Marston,"['Drama', 'Thriller', 'Crime']","['individual', 'new york', 'adolescence', 'colombia', 'drug traffic', 'cocaine', 'drug crime', 'illegal immigration', 'maquiladora', 'airplane', 'bravery', 'teacher', 'pregnancy', 'self esteem']","María, llena eres de gracia",A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,"Based on 10,000 true stories."
Beginners,"['Ewan McGregor', 'Christopher Plummer', 'Mélanie Laurent', 'Goran Visnjic', 'Kai Lennox']",Mike Mills,"['Drama', 'Romance', 'Comedy']","['gay', 'loss of mother', 'secret', 'coming out', 'loss of father', 'cancer', 'lgbt elderly']",Beginners,"A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover.",This is what love feels like.
Feast,"['Balthazar Getty', 'Henry Rollins', 'Navi Rawat', 'Judah Friedlander', 'Jason Mewes']",John Gulager,"['Action', 'Comedy', 'Horror']","['monster', 'pub', 'duringcreditsstinger']",Feast,Patrons locked inside of a bar are forced to fight monsters.,
Animal House,"['John Belushi', 'Tim Matheson', 'John Vernon', 'Verna Bloom', 'Tom Hulce']",John Landis,['Comedy'],"['sex', 'nudity', 'college', 'fraternity', 'gross out comedy', 'dean', 'fraternity house', 'probation', '1960s', 'college freshman', 'anarchic comedy']",Animal House,"At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",It was the Deltas against the rules... the rules lost!
Goldfinger,"['Sean Connery', 'Honor Blackman', 'Gert Fröbe', 'Shirley Eaton', 'Tania Mallet']",Guy Hamilton,"['Adventure', 'Action', 'Thriller']","['secret organization', 'secret intelligence service', 'nuclear radiation', 'fort knox', 'aston martin', 'secret lab', 'kentucky', 'gas attack', 'airplane', 'british secret service', 'duringcreditsstinger']",Goldfinger,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.",Everything he touches turns into excitement!
Antiviral,"['Caleb Landry Jones', 'Sarah Gadon', 'Malcolm McDowell', 'Joe Pingue', 'Sheila McCarthy']",Brandon Cronenberg,"['Science Fiction', 'Horror']","['injection', 'celebrity', 'satire', 'near future', 'metamorphosis', 'tech noir', 'virus', 'body horror']",Antiviral,"After becoming infected with the virus that killed superstar Hannah Geist, Syd March must unravel the mystery surrounding her death to save his own life .",What If You Could Feel Like They Do ...
It's a Wonderful Life,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers']",Frank Capra,"['Drama', 'Family', 'Fantasy']","['holiday', 'angel', 'based on novel', 'bank', 'suicide attempt', 'small town', 'christmas tree', 'great depression', 'christmas eve', 'feel-good ending', 'guardian angel', 'christmas']",It's a Wonderful Life,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.",It's a wonderful laugh! It's a wonderful love!
Trainspotting,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Robert Carlyle', 'Kelly Macdonald']",Danny Boyle,"['Drama', 'Crime']","['london england', 'alcohol', 'sex', 'based on novel', 'drug addiction', 'drug dealer', 'nightclub', 'junkie', 'heroin', 'cold turkey', 'modern society', 'hallucination', 'friendship', 'surrealism', 'dark comedy', 'stealing', 'monologue', 'cult film', 'recovering drug addict', 'illegal drugs', 'drug deal', 'drug rehabilitation', 'drug culture', 'antihero']",Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Choose life.
The Original Kings of Comedy,"['Steve Harvey', 'D. L. Hughley', 'Cedric the Entertainer', 'Bernie Mac']",Spike Lee,['Comedy'],[],The Original Kings of Comedy,"The Original Kings of Comedy achieves the seemingly impossible task of capturing the rollicking and sly comedy routines of stand-up and sitcom vets Steve Harvey, D.L. Hughley, Cedric the Entertainer, and Bernie Mac and the magic of experiencing a live concert show. Director Spike Lee and his crew plant a multitude of cameras in a packed stadium and onstage (as well as backstage, as they follow the comedians) to catch the vivid immediacy of the show, which is as much about the audience as it is about the jokes.",We Got Jokes
Paranormal Activity 2,"['Katie Featherston', 'David Bierend', 'Brian Boland', 'Molly Ephraim', 'Seth Ginsberg']",Tod Williams,"['Horror', 'Thriller']","['ouija board', 'haunting', 'demonic possession', 'found footage', 'duringcreditsstinger']",Paranormal Activity 2,"Just as Dan and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare. Security cameras capture the torment, making every minute horrifyingly real.",In 2009 you demanded it. Nothing can prepare you for what's next.
Waking Ned,"['Ian Bannen', 'David Kelly', 'Fionnula Flanagan', 'Susan Lynch', 'Brendan Dempsey']",Kirk Jones,"['Comedy', 'Romance']","['false identity', 'beguilement', 'lottery', 'village', 'jackpot', 'independent film', 'ireland']",Waking Ned,"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",How far would you go to win a fortune!
